Image,Confidence,TP,FP,FN,TP_acc,FP_acc,FN_acc,Precision,Recall,F1
Image 19,0.5227795839309692,0,1,0,272,5,141,0.9819494584837545,0.6570048309178744,0.7872648335745297
Image 70,0.5181341767311096,1,0,0,273,5,141,0.9820143884892086,0.6594202898550725,0.7890173410404626
Image 3,0.5161051154136658,1,0,0,274,5,141,0.982078853046595,0.6618357487922706,0.7907647907647909
Image 64,0.514377236366272,1,0,0,275,5,141,0.9821428571428571,0.6642512077294686,0.7925072046109509
Image 9,0.4891872704029083,1,0,0,276,5,141,0.9822064056939501,0.6666666666666666,0.7942446043165468
Image 6,0.48345938324928284,1,0,0,277,5,141,0.9822695035460993,0.6690821256038647,0.7959770114942528
Image 65,0.46576857566833496,1,0,0,278,5,141,0.9823321554770318,0.6714975845410628,0.7977044476327116
Image 115,0.4591686427593231,0,1,0,278,6,141,0.9788732394366197,0.6714975845410628,0.7965616045845272
Image 111,0.4576452970504761,0,1,0,278,7,141,0.9754385964912281,0.6714975845410628,0.7954220314735336
Image 97,0.43567532300949097,1,0,0,279,7,141,0.9755244755244755,0.6739130434782609,0.7971428571428572
