Image,Confidence,TP,FP,FN,TP_acc,FP_acc,FN_acc,Precision,Recall,F1
Image 12,0.9993877410888672,1,0,0,28,0,36,1.0,0.06763285024154589,0.12669683257918551
Image 41,0.9993690848350525,1,0,0,29,0,36,1.0,0.07004830917874397,0.1309255079006772
Image 0,0.9993601441383362,1,0,0,30,0,36,1.0,0.07246376811594203,0.13513513513513511
Image 18,0.9993454813957214,1,0,0,31,0,36,1.0,0.0748792270531401,0.13932584269662923
Image 44,0.9993044137954712,1,0,1,32,0,37,1.0,0.07729468599033816,0.14349775784753363
Image 101,0.9992819428443909,1,0,3,33,0,40,1.0,0.07971014492753623,0.1476510067114094
Image 58,0.9992751479148865,1,0,0,34,0,40,1.0,0.0821256038647343,0.1517857142857143
Image 61,0.9992749094963074,1,0,3,35,0,43,1.0,0.08454106280193237,0.155902004454343
Image 102,0.9992663264274597,1,0,1,36,0,44,1.0,0.08695652173913043,0.16
Image 2,0.9992581009864807,1,0,0,37,0,44,1.0,0.0893719806763285,0.16407982261640797
Image 33,0.9992542862892151,1,0,1,38,0,45,1.0,0.09178743961352658,0.168141592920354
Image 64,0.999215841293335,1,0,1,39,0,46,1.0,0.09420289855072464,0.17218543046357618
Image 88,0.9992068409919739,1,0,3,40,0,49,1.0,0.0966183574879227,0.1762114537444934
Image 114,0.9991846680641174,1,0,0,41,0,49,1.0,0.09903381642512077,0.18021978021978022
Image 12,0.9991611242294312,1,0,0,42,0,49,1.0,0.10144927536231885,0.1842105263157895
Image 19,0.9991114735603333,1,0,0,43,0,49,1.0,0.10386473429951691,0.18818380743982493
Image 5,0.9990863800048828,1,0,0,44,0,49,1.0,0.10628019323671498,0.19213973799126638
Image 74,0.9990457892417908,1,0,0,45,0,49,1.0,0.10869565217391304,0.19607843137254902
Image 114,0.9990299940109253,1,0,0,46,0,49,1.0,0.1111111111111111,0.19999999999999998
Image 95,0.9990264177322388,1,0,0,47,0,49,1.0,0.11352657004830918,0.2039045553145336
Image 25,0.9990002512931824,1,0,4,48,0,53,1.0,0.11594202898550725,0.20779220779220778
Image 37,0.9990002512931824,1,0,1,49,0,54,1.0,0.11835748792270531,0.2116630669546436
Image 92,0.9989683628082275,1,0,4,50,0,58,1.0,0.12077294685990338,0.21551724137931033
Image 125,0.9989645481109619,1,0,0,51,0,58,1.0,0.12318840579710146,0.2193548387096774
Image 82,0.9989467263221741,1,0,2,52,0,60,1.0,0.12560386473429952,0.22317596566523604
Image 70,0.9989213943481445,1,0,0,53,0,60,1.0,0.1280193236714976,0.22698072805139186
Image 46,0.9989097118377686,1,0,0,54,0,60,1.0,0.13043478260869565,0.23076923076923078
Image 76,0.9988886713981628,1,0,3,55,0,63,1.0,0.13285024154589373,0.23454157782515994
Image 45,0.9988507032394409,1,0,1,56,0,64,1.0,0.13526570048309178,0.23829787234042552
Image 73,0.9988073110580444,1,0,0,57,0,64,1.0,0.13768115942028986,0.24203821656050956
Image 35,0.9987963438034058,1,0,0,58,0,64,1.0,0.14009661835748793,0.24576271186440682
Image 23,0.9987391829490662,1,0,5,59,0,69,1.0,0.14251207729468598,0.24947145877378435
