Image,Confidence,TP,FP,TP_acc,FP_acc,Precision,Recall,F1
Image 4,0.903082549571991,1,0,36,0,1.0,0.288,0.44720496894409933
Image 49,0.9029517769813538,1,0,37,0,1.0,0.296,0.4567901234567901
Image 13,0.9026641845703125,1,0,38,0,1.0,0.304,0.4662576687116564
Image 28,0.9020932912826538,1,0,39,0,1.0,0.312,0.47560975609756095
Image 53,0.9012643694877625,1,0,40,0,1.0,0.32,0.48484848484848486
Image 29,0.9010936617851257,1,0,41,0,1.0,0.328,0.4939759036144578
Image 24,0.8999951481819153,1,0,42,0,1.0,0.336,0.5029940119760479
Image 10,0.8990128636360168,1,0,43,0,1.0,0.344,0.5119047619047619
Image 21,0.8984145522117615,1,0,44,0,1.0,0.352,0.5207100591715976
Image 59,0.8976501822471619,1,0,45,0,1.0,0.36,0.5294117647058824
Image 52,0.8971002101898193,1,0,46,0,1.0,0.368,0.5380116959064328
Image 47,0.8961827754974365,1,0,47,0,1.0,0.376,0.5465116279069768
Image 39,0.8922551274299622,1,0,48,0,1.0,0.384,0.5549132947976879
Image 41,0.8911356925964355,1,0,49,0,1.0,0.392,0.5632183908045978
Image 54,0.8890339732170105,1,0,50,0,1.0,0.4,0.5714285714285715
Image 7,0.8881202936172485,1,0,51,0,1.0,0.408,0.5795454545454546
Image 58,0.8812949061393738,1,0,52,0,1.0,0.416,0.5875706214689266
Image 57,0.8810994625091553,1,0,53,0,1.0,0.424,0.5955056179775281
Image 62,0.8800767064094543,1,0,54,0,1.0,0.432,0.6033519553072626
Image 3,0.8758766651153564,1,0,55,0,1.0,0.44,0.6111111111111112
Image 46,0.8722436428070068,1,0,56,0,1.0,0.448,0.6187845303867404
Image 39,0.8721835017204285,1,0,57,0,1.0,0.456,0.6263736263736264
Image 15,0.8715301752090454,1,0,58,0,1.0,0.464,0.6338797814207651
Image 20,0.8689482808113098,1,0,59,0,1.0,0.472,0.6413043478260869
Image 61,0.8678769469261169,1,0,60,0,1.0,0.48,0.6486486486486487
Image 6,0.8660438656806946,1,0,61,0,1.0,0.488,0.6559139784946236
Image 31,0.8645504713058472,1,0,62,0,1.0,0.496,0.6631016042780749
Image 63,0.8559991717338562,1,0,63,0,1.0,0.504,0.6702127659574468
Image 43,0.8524346947669983,1,0,64,0,1.0,0.512,0.6772486772486772
Image 62,0.8361070156097412,1,0,65,0,1.0,0.52,0.6842105263157895
Image 7,0.8349002003669739,1,0,66,0,1.0,0.528,0.6910994764397906
Image 28,0.8293749094009399,1,0,67,0,1.0,0.536,0.6979166666666667
Image 52,0.8285694718360901,1,0,68,0,1.0,0.544,0.7046632124352332
Image 9,0.8271530866622925,1,0,69,0,1.0,0.552,0.711340206185567
Image 62,0.8262289762496948,1,0,70,0,1.0,0.56,0.717948717948718
Image 45,0.820339024066925,1,0,71,0,1.0,0.568,0.7244897959183673
Image 14,0.8197234272956848,1,0,72,0,1.0,0.576,0.730964467005076
Image 30,0.8182146549224854,1,0,73,0,1.0,0.584,0.7373737373737373
Image 40,0.8165079355239868,0,1,73,1,0.9864864864864865,0.584,0.7336683417085427
Image 38,0.8163884878158569,1,0,74,1,0.9866666666666667,0.592,0.74
Image 52,0.8161348104476929,1,0,75,1,0.9868421052631579,0.6,0.7462686567164178
Image 1,0.8152010440826416,1,0,76,1,0.987012987012987,0.608,0.7524752475247525
Image 36,0.8099203705787659,1,0,77,1,0.9871794871794872,0.616,0.7586206896551724
Image 19,0.8082415461540222,1,0,78,1,0.9873417721518988,0.624,0.7647058823529411
Image 42,0.7995380163192749,1,0,79,1,0.9875,0.632,0.7707317073170732
Image 55,0.7934508919715881,1,0,80,1,0.9876543209876543,0.64,0.7766990291262136
Image 44,0.793395459651947,1,0,81,1,0.9878048780487805,0.648,0.7826086956521738
Image 43,0.7910175323486328,1,0,82,1,0.9879518072289156,0.656,0.7884615384615384
Image 32,0.7904354333877563,1,0,83,1,0.9880952380952381,0.664,0.7942583732057417
Image 62,0.7897040843963623,1,0,84,1,0.9882352941176471,0.672,0.8
Image 43,0.7867205739021301,1,0,85,1,0.9883720930232558,0.68,0.8056872037914692
Image 40,0.7778407335281372,1,0,86,1,0.9885057471264368,0.688,0.8113207547169811
Image 12,0.7704131603240967,1,0,87,1,0.9886363636363636,0.696,0.8169014084507042
