Image,Confidence,TP,FP,TP_acc,FP_acc,Precision,Recall,F1
Image 62,0.7479043006896973,1,0,45,2,0.9574468085106383,0.5769230769230769,0.7200000000000001
Image 29,0.741266667842865,1,0,46,2,0.9583333333333334,0.5897435897435898,0.7301587301587301
Image 0,0.7372597455978394,1,0,47,2,0.9591836734693877,0.6025641025641025,0.7401574803149606
Image 25,0.7298941016197205,1,0,48,2,0.96,0.6153846153846154,0.7500000000000001
Image 40,0.7157246470451355,1,0,49,2,0.9607843137254902,0.6282051282051282,0.7596899224806201
Image 28,0.7106879353523254,1,0,50,2,0.9615384615384616,0.6410256410256411,0.7692307692307693
Image 56,0.7085347175598145,1,0,51,2,0.9622641509433962,0.6538461538461539,0.7786259541984734
Image 45,0.7026137113571167,1,0,52,2,0.9629629629629629,0.6666666666666666,0.7878787878787878
Image 55,0.6965778470039368,1,0,53,2,0.9636363636363636,0.6794871794871795,0.7969924812030076
Image 7,0.695065438747406,1,0,54,2,0.9642857142857143,0.6923076923076923,0.8059701492537313
Image 49,0.6895328760147095,1,0,55,2,0.9649122807017544,0.7051282051282052,0.8148148148148149
Image 15,0.6852867603302002,1,0,56,2,0.9655172413793104,0.717948717948718,0.8235294117647058
Image 40,0.6710740923881531,1,0,57,2,0.9661016949152542,0.7307692307692307,0.8321167883211679
Image 23,0.6648890972137451,1,0,58,2,0.9666666666666667,0.7435897435897436,0.8405797101449275
Image 62,0.6642172932624817,1,0,59,2,0.9672131147540983,0.7564102564102564,0.8489208633093525
Image 23,0.6633592844009399,0,1,59,3,0.9516129032258065,0.7564102564102564,0.8428571428571429
Image 41,0.6453059315681458,1,0,60,3,0.9523809523809523,0.7692307692307693,0.8510638297872339
Image 9,0.6287676692008972,1,0,61,3,0.953125,0.782051282051282,0.8591549295774649
Image 6,0.627666175365448,1,0,62,3,0.9538461538461539,0.7948717948717948,0.8671328671328672
Image 1,0.5827516913414001,1,0,63,3,0.9545454545454546,0.8076923076923077,0.875
Image 5,0.5800037384033203,1,0,64,3,0.9552238805970149,0.8205128205128205,0.8827586206896552
Image 20,0.5649598240852356,1,0,65,3,0.9558823529411765,0.8333333333333334,0.8904109589041096
Image 48,0.513910174369812,1,0,66,3,0.9565217391304348,0.8461538461538461,0.8979591836734695
